,reviewId,userName,userImage,content,reason,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOHGo5DvHMAsWL348tPB0UyWXab1Cf8r4JFAvkQxNswS3fOgM9FJufnqbwol5iThiUVRkkbE24va-FnNYQ,Lucas Nauerz 2,https://play-lh.googleusercontent.com/a/AATXAJxUHnTQXqLcmvVLnQJlSSTlW2GvsS5VKRRoL0EY=mo,Terrible,No specific reason,1,0,4.0.1,2021-07-12 23:46:34,,
1,gp:AOqpTOEmolYJbr7nOSKFkD6D0aOS2XCwgfX_vXdbOlx-col6xrJAuZm1H1S9vc0uMEFjga3X9bRT6F2xxAdLBQ,Liam Wrona,https://play-lh.googleusercontent.com/a/AATXAJzpVh6uIs3hbnUzKGVg-57akR7hADMN0jyofo0o=mo,This is a horrible app! You have to have a membership (which is VERY expensive) to get almost anything in the game! The graphics are disgusting and they never fixed the pedestal even though it's been years! Also I am seeing that a lot of people are asking to cancel their membership or get a refund but prodigy won't let them! The game is also boring and has few interactions with other players and players always leave the battle halfway through because they are too lazy or bad at math! Apps a scam,Gameplay,1,11,4.0.1,2021-07-12 16:54:28,,
2,gp:AOqpTOEHBo9TDJOlSMQEC4qz1w0aKgb4L0gGfdGKxbSflix7Oi90Ui73O02YepEPS1VPBChLOarfx88Sc1yrUg,Alpha Wolf,https://play-lh.googleusercontent.com/a-/AOh14Gjzs-m5jZOdzUABQ4L5qqwGA1eliCA84MXLjf3ylw,"This game is hella pay to win. Everything revolves around the membership. Want to take a step? Gotta have member ship, wanna collect that chest you worked hard to get to? Gotta have that membership I am surprised this game isn't made by EA. It doesn't care about the lower income people because everything revolves around spending money. It's garbage don't install",Gameplay,1,9,4.0.1,2021-07-11 23:20:59,,
3,gp:AOqpTOFK5o4TR7Wmst5jhrpg5zaqOAnpedisM27MqH_4vP6KChuV6RDEChQgS-GFvLkaJIKMIp6ktHM4WNqYAQ,Ana Caballero,https://play-lh.googleusercontent.com/a/AATXAJwHjhhZCqxJbsqWIUpfYyhXRYDhBqpyzXQm1m-A=mo,HORIBLE this gam is bad on phones and wont let me log in with my school username and password and im not letting all that work go to waist i do not recomend this game on phones.i dont know if its my phone or not but i wouldnt download this gameĦ.i hope this helps you guys,Technical,1,0,,2021-07-10 00:34:59,,
4,gp:AOqpTOE50ai2RKBeeLzmIOkn7RMBOD1xOtgzBzi341g2q2_fK4aKEpjTMrwSUOq4OSQ_JWXPLDnQIVZ6pwKNMA,RR ASHRINDRA,https://play-lh.googleusercontent.com/a-/AOh14GiTjZzzbLV0ryfv0NPpP0dM9TxWuxlNFXNXYiqWIQ,"It USED to be a good game until they added membership to ALMOST EVERYTHING in the game.i like the summer update but still I feel like hacking the game to get membership easy peasy to get the rewards and stuff.almost like one of those PAY TO WIN games.TAKE OUT MEMBERSHIP, it's making everyone not play the game now its BORING!!!!.",Membership,1,13,,2021-07-09 21:49:48,,
5,gp:AOqpTOEUQ2h4F5_qi7qfERSbGRf-UeAzaAOEuVKvkxRuwaOf0edCz1DOgzG3HGSMKRxGJGAJ2kfVXtoNcdZZfw,Jesus Barraza,https://play-lh.googleusercontent.com/a/AATXAJxyOw80caDqpthrNgd7Rdd7FiUjwHuzwPUcWemW=mo,F#$$ it,No specific reason,1,0,4.0.1,2021-07-09 20:24:55,,
6,gp:AOqpTOHA4Xe9JsTZSJq-4zAdQu7wiY2v4BXugFHrqcJX0A7n1Fnv-iWnRyTjk3wE5Ko7SoQEOWNtRQIV0KIEJg,SALTY XXIVVII,https://play-lh.googleusercontent.com/a-/AOh14Gg7ey8CL31fh9BVoiZpdxj2VWtyX3G3Eyo_tP34yA,Won't let me sign in,Technical,1,0,4.0.1,2021-07-05 11:04:24,,
7,gp:AOqpTOH1ZfiA1xCxHPhgY8NKNjz-Z4Fo7jnVt1cBQJFIP_TTySXkskB1zeYASyizdXhbDVD4kOg96ZwllkXFmw,beeram nageshwar reddy,https://play-lh.googleusercontent.com/a/AATXAJygQb6NO19gIUr3EVIc_C6Z0pGEGIDPcXiwQCNS=mo,worst game,No specific reason,1,0,,2021-07-05 04:31:41,,
8,gp:AOqpTOH-P_eRlivpWPzqSgo9efDgKgNTVPJUcljNO2-lhza0GA0EOuszhL0EpDbg3sYQ4enk3vydg5U9LTZksw,wplayzgacha4fun,https://play-lh.googleusercontent.com/a-/AOh14Gji7iif6TYyAXFREJaeRzsrbXV5kP-HsC1vDaUsLw,I cant even download it i kept tapping intall and i wouldn't i freed up space and still not working please fix this please,Technical,1,0,,2021-07-03 14:39:10,,
9,gp:AOqpTOGjZfm4ardl2kOIE131VRwZ7dgyEBsJhsFI6Xq94i6eqdZFuOEGCj2ZOKIoT0W3m0zPTkUEk_42S5-MRQ,Hamid Ahmadi,https://play-lh.googleusercontent.com/a-/AOh14Gh2H6H3nGTsPL0PoxI1FKUU0upEt2XlwyUCoyWrsA,I dont like this game because It does not have an ending i have been playing this for 5 years and I only have one gem ston there can u pleaseee make an ending! :(,Gameplay,1,0,4.0.1,2021-07-03 14:29:40,,
