reason,lemmatized_content
No specific reason,terrible
Gameplay,this is a horrible app you have to have a membership which is very expensive to get almost anything in the game the graphic are disgusting and they never fixed the pedestal even though it been year also i am seeing that a lot of people are asking to cancel their membership or get a refund but prodigy wont let them the game is also boring and ha few interaction with other player and player always leave the battle halfway through because they are too lazy or bad at math apps a scam
Gameplay,this game is hella pay to win everything revolves around the membership want to take a step gotta have member ship wanna collect that chest you worked hard to get to gotta have that membership i am surprised this game isnt made by ea it doesnt care about the lower income people because everything revolves around spending money it garbage dont install
Technical,horible this gam is bad on phone and wont let me log in with my school username and password and im not letting all that work go to waist i do not recomend this game on phonesi dont know if it my phone or not but i wouldnt download this gamei hope this help you guy
Membership,it used to be a good game until they added membership to almost everything in the gamei like the summer update but still i feel like hacking the game to get membership easy peasy to get the reward and stuffalmost like one of those pay to win gamestake out membership it making everyone not play the game now it boring
No specific reason,f it
Technical,wont let me sign in
No specific reason,worst game
Technical,i cant even download it i kept tapping intall and i wouldnt i freed up space and still not working please fix this please
Gameplay,i dont like this game because it doe not have an ending i have been playing this for year and i only have one gem ston there can u pleaseee make an ending
No specific reason,wait why is play prodigy in my computer school
Technical,wont work on chromebook anymore membership is a waste of my mom money
Technical,it wont let me in
Gameplay,the worst these question are too hard
Technical,no more membership
Technical,glitchy
No specific reason,gtg guy th high tct ubuntu rycroft jobbing tub ibuprofen
Technical,when i get in the game it just kick me out of the game
No specific reason,suck
Technical,cant log in with google account on app
No specific reason,i tried
Gameplay,it pay to win it annoying
Technical,great when it worked but had been broken on lenovo duet chromebook for a couple month now cache cleared data cleared reinstalled rebooted new account all the same result the graphic do now draw properly in the animation stack and so you cannot see dialog message character or opponent we are paying for a membership that is now useless and there is nothing we can do right now
Membership,i hate this game it is pay to win and there is no way that you can collect epic or get the membership game it is sooo hard to get to higher level and the item that help leveling up they need the membership you even need a membersip to evolve your pet all and all this is a horrible game
Membership,it all just memebership and it expensive to get membership make it free
No specific reason,math
No specific reason,to hav a love
No specific reason,what is this
No specific reason,it a learning math app that you need for math teaching for student that need help with math proplems nut if you rate star i will be mad
No specific reason,good anoung u
No specific reason,lame
Gameplay,the graphic are so disgusting now and most of the fun aspect from when i wa younger have been downgraded or flat out removed i am disappointed
Membership,this game is so unfair in not a member and all the stuff in prodigy are the worst when your pet and wizard have heart we have to pay gold coin and also when ever we get crimson boot they are worn by a member but you dont need too but i collected a sea sword boot and i cant wear them the crimson boot are fine but the sea sword boot we cant wear them that is why this game is totally unfair
No specific reason,i hate it but go ahead nd try it out
Membership,i mean this used to be an awesome game especially for learning but now there is a membership this is so dumb because you cant buy a ton of armor you cant even evolve pet one of the most basic action without the membership if they got rid of the membership or fixed the issue specified above it would make this game great
Membership,it bad everything cost money and it all overpriced for you can access an area to even continue it so many bug that i had to lose my account and start over because i went into the tower would give a if could
No specific reason,it is the worst because you try to play the game using the app you cant it is just so stupid
Technical,my login freaking having lot of error and when ever press login it deletes my password fix this now
No specific reason,bad
No specific reason,it so so bad
Technical,you can only play on computer i cant play on mobile because it say im going to go to the website
No specific reason,trash ban me my name is jayden
